combination_id;val1;val2;val3;expn_val
17;25 ~ 46;5363 ~ 22329;California -> 0.12655086848635236|Texas -> 0.11166253101736973|Illinois -> 0.05707196029776675|;200 -> 1.0297766749379653|100 -> 0.27791563275434245|300 -> 0.2109181141439206|
17;48 ~ 65;49676 ~ 66163;Florida -> 0.08433734939759036|California -> 0.08433734939759036|Texas -> 0.0783132530120482|;200 -> 1.072289156626506|100 -> 0.9548192771084337|300 -> 0.6987951807228916|
17;36 ~ 60;134544 ~ 176027;California -> 0.1476510067114094|Illinois -> 0.08389261744966443|New Jersey -> 0.06711409395973154|;100 -> 1.1241610738255035|200 -> 1.0436241610738255|300 -> 0.8221476510067114|
17;50 ~ 67;18913 ~ 40076;California -> 0.13138686131386862|Texas -> 0.09732360097323602|Florida -> 0.09732360097323602|;200 -> 1.0048661800486618|300 -> 0.5669099756690997|100 -> 0.5328467153284672|
17;39 ~ 59;228726 ~ 329527;California -> 0.1875|Virginia -> 0.09821428571428571|Illinois -> 0.09821428571428571|;200 -> 1.0625|100 -> 1.0535714285714286|300 -> 0.9017857142857143|
17;27 ~ 41;33347 ~ 48987;California -> 0.13111545988258316|Texas -> 0.11350293542074363|Florida -> 0.06457925636007827|;200 -> 1.0743639921722115|100 -> 0.3835616438356164|300 -> 0.2974559686888454|
17;34 ~ 54;99000 ~ 119093;California -> 0.13535911602209943|New York -> 0.06906077348066299|Illinois -> 0.06906077348066299|;200 -> 1.0966850828729282|100 -> 0.8812154696132597|300 -> 0.7182320441988951|
17;39 ~ 59;431812 ~ 769211;California -> 0.23529411764705882|Virginia -> 0.11764705882352941|Texas -> 0.11764705882352941|;200 -> 1.3529411764705883|100 -> 1.1764705882352942|300 -> 1.1176470588235294|
17;27 ~ 41;62289 ~ 81071;California -> 0.15363881401617252|Texas -> 0.11320754716981132|Florida -> 0.05929919137466307|;200 -> 1.105121293800539|100 -> 0.46900269541778977|300 -> 0.4582210242587601|
17;43 ~ 61;77121 ~ 92898;California -> 0.1044776119402985|Pennsylvania -> 0.08208955223880597|Texas -> 0.07835820895522388|;100 -> 1.2611940298507462|200 -> 1.123134328358209|300 -> 0.8768656716417911|
