combination_id;val1;val2;val3;expn_val
19;24 ~ 32;California -> 0.12781954887218044|Texas -> 0.09586466165413533|Florida -> 0.06766917293233082|;Professional -> 0.18609022556390978|Other service -> 0.16353383458646617|Sales, retail -> 0.11090225563909774|;200 -> 0.9398496240601504|300 -> 0.24812030075187969|400 -> 0.13909774436090225|
19;60 ~ 73;California -> 0.15463917525773196|Florida -> 0.10652920962199312|Texas -> 0.06872852233676977|;Professional -> 0.24742268041237114|Other service -> 0.13745704467353953|Administrative support, including clerical -> 0.10996563573883161|;200 -> 1.0584192439862543|300 -> 0.7491408934707904|100 -> 0.24742268041237114|
19;29 ~ 38;Texas -> 0.13803680981595093|California -> 0.09202453987730061|New York -> 0.06748466257668712|;Professional -> 0.4386503067484663|Administrator, manager -> 0.08895705521472393|Technician -> 0.0705521472392638|;100 -> 1.2914110429447854|200 -> 0.9355828220858896|300 -> 0.5613496932515337|
19;49 ~ 58;California -> 0.14779874213836477|Florida -> 0.09433962264150944|Texas -> 0.0880503144654088|;Professional -> 0.18553459119496854|Other service -> 0.13836477987421383|Administrator, manager -> 0.11635220125786164|;200 -> 0.9465408805031447|100 -> 0.4528301886792453|400 -> 0.13522012578616352|
19;43 ~ 61;Pennsylvania -> 0.11206896551724138|Illinois -> 0.08620689655172414|New York -> 0.0603448275862069|;Professional -> 0.3017241379310345|Administrator, manager -> 0.20689655172413793|Administrative support, including clerical -> 0.09482758620689655|;100 -> 3.5948275862068964|200 -> 1.2413793103448276|300 -> 1.0086206896551724|
19;25 ~ 37;California -> 0.128|Texas -> 0.104|Massachusetts -> 0.064|;Other service -> 0.184|Professional -> 0.168|Administrative support, including clerical -> 0.112|;200 -> 2.16|100 -> 0.296|300 -> 0.272|
19;40 ~ 52;California -> 0.13372093023255813|Pennsylvania -> 0.07267441860465117|Illinois -> 0.07267441860465117|;Professional -> 0.32848837209302323|Administrator, manager -> 0.13372093023255813|Other service -> 0.12209302325581395|;300 -> 1.0901162790697674|200 -> 1.0|100 -> 0.06395348837209303|
19;40 ~ 48;California -> 0.08710801393728224|Texas -> 0.08362369337979095|Pennsylvania -> 0.08013937282229965|;Administrator, manager -> 0.31010452961672474|Professional -> 0.14285714285714285|Other service -> 0.10801393728222997|;100 -> 1.3205574912891986|200 -> 1.1184668989547037|300 -> 1.0139372822299653|
19;38 ~ 45;California -> 0.24861878453038674|Texas -> 0.12430939226519337|Florida -> 0.055248618784530384|;Other service -> 0.2430939226519337|Professional -> 0.13812154696132597|Administrator, manager -> 0.08287292817679558|;200 -> 1.0248618784530388|400 -> 0.19337016574585636|100 -> 0.16022099447513813|
19;52 ~ 62;California -> 0.08854166666666667|Texas -> 0.06510416666666667|New York -> 0.057291666666666664|;Professional -> 0.2838541666666667|Administrator, manager -> 0.11979166666666667|Administrative support, including clerical -> 0.1171875|;100 -> 1.4375|200 -> 1.1197916666666667|300 -> 0.9947916666666666|
