combination_id;val1;val2;val3;expn_val
7;First through eighth grade ~ Some college, less than college graduate;16140 ~ 32774;Other service -> 0.2623318385650224|Handler, helper, laborer -> 0.1031390134529148|Administrative support, including clerical -> 0.09865470852017937|;FOR/110 -> 0.17937219730941703|CHE/110 -> 0.16367713004484305|TOY/100 -> 0.1210762331838565|
7;Associate's degree ~ Professional/Doctorate degree;204843 ~ 301869;Professional -> 0.6194690265486725|Administrator, manager -> 0.168141592920354|Sales, retail -> 0.05309734513274336|;TOY/110 -> 0.1504424778761062|HON/100 -> 0.1415929203539823|TOY/100 -> 0.13274336283185842|
7;High school graduate ~ Some college, less than college graduate;40813 ~ 57935;Other service -> 0.17272727272727273|Administrative support, including clerical -> 0.12045454545454545|Professional -> 0.11136363636363636|;CHE/110 -> 0.24545454545454545|FOR/110 -> 0.20909090909090908|TOY/100 -> 0.1159090909090909|
7;Associate's degree ~ Professional/Doctorate degree;353747 ~ 711200;Professional -> 0.5217391304347826|Administrator, manager -> 0.2608695652173913|Teacher -> 0.08695652173913043|;FOR/110 -> 0.391304347826087|CHE/110 -> 0.21739130434782608|BMW/100 -> 0.21739130434782608|
7;Associate's degree ~ Master's degree;82237 ~ 104780;Professional -> 0.4106583072100313|Administrator, manager -> 0.14733542319749215|Teacher -> 0.12539184952978055|;TOY/100 -> 0.2507836990595611|HON/100 -> 0.1755485893416928|CHE/110 -> 0.15047021943573669|
7;Associate's degree ~ Master's degree;27321 ~ 42865;Professional -> 0.2565789473684211|Teacher -> 0.13486842105263158|Administrator, manager -> 0.12171052631578948|;TOY/100 -> 0.14144736842105263|FOR/110 -> 0.11842105263157894|HON/100 -> 0.11513157894736842|
7;Some college, less than college graduate ~ Master's degree;121982 ~ 157624;Professional -> 0.3894080996884735|Administrator, manager -> 0.22741433021806853|Teacher -> 0.059190031152647975|;FOR/110 -> 0.1838006230529595|TOY/110 -> 0.16822429906542055|TOY/100 -> 0.16822429906542055|
7;Associate's degree ~ Master's degree;53039 ~ 69229;Professional -> 0.3875|Administrator, manager -> 0.134375|Teacher -> 0.109375|;TOY/100 -> 0.165625|HON/100 -> 0.15|FOR/110 -> 0.134375|
7;Ninth through twelfth grade ~ Some college, less than college graduate;72480 ~ 98070;Administrative support, including clerical -> 0.13333333333333333|Professional -> 0.13015873015873017|Other service -> 0.12698412698412698|;FOR/110 -> 0.3492063492063492|CHE/110 -> 0.25396825396825395|TOY/100 -> 0.1365079365079365|
7;High school graduate ~ Bachelor's degree;1848 ~ 14292;Other service -> 0.2599118942731278|Professional -> 0.14096916299559473|Sales, retail -> 0.13656387665198239|;FOR/110 -> 0.14096916299559473|TOY/100 -> 0.12334801762114538|CHE/100 -> 0.11894273127753303|
