combination_id;val1;val2;val3;expn_val
16;Ninth through twelfth grade ~ Associate's degree;5122 ~ 21500;California -> 0.1282051282051282|Texas -> 0.11188811188811189|Illinois -> 0.06060606060606061|;200 -> 1.0256410256410255|100 -> 0.34265734265734266|300 -> 0.27972027972027974|
16;High school graduate ~ Associate's degree;52871 ~ 67760;California -> 0.12034383954154727|Texas -> 0.08022922636103152|Florida -> 0.07449856733524356|;200 -> 1.0429799426934097|100 -> 0.664756446991404|300 -> 0.5759312320916905|
16;Some college, less than college graduate ~ Master's degree;136438 ~ 178015;California -> 0.14487632508833923|Illinois -> 0.08833922261484099|New Jersey -> 0.0636042402826855|;100 -> 1.1024734982332156|200 -> 1.0424028268551238|300 -> 0.833922261484099|
16;First through eighth grade ~ Some college, less than college graduate;29438 ~ 45070;California -> 0.13535353535353536|Texas -> 0.11717171717171718|Florida -> 0.08888888888888889|;200 -> 1.0767676767676768|100 -> 0.4383838383838384|300 -> 0.36363636363636365|
16;Associate's degree ~ Professional/Doctorate degree;230066 ~ 333185;California -> 0.1891891891891892|Virginia -> 0.0990990990990991|New York -> 0.09009009009009009|;200 -> 1.063063063063063|100 -> 1.0360360360360361|300 -> 0.8738738738738738|
16;Associate's degree ~ Master's degree;25300 ~ 47326;California -> 0.1026252983293556|Texas -> 0.0954653937947494|Florida -> 0.07398568019093078|;200 -> 1.0334128878281623|100 -> 0.5775656324582339|300 -> 0.4797136038186158|
16;Associate's degree ~ Master's degree;99108 ~ 121634;California -> 0.12797619047619047|Illinois -> 0.07738095238095238|Pennsylvania -> 0.0744047619047619|;200 -> 1.0773809523809523|100 -> 0.9821428571428571|300 -> 0.7767857142857143|
16;Associate's degree ~ Professional/Doctorate degree;444003 ~ 779363;California -> 0.25|Virginia -> 0.125|Texas -> 0.125|;200 -> 1.375|300 -> 1.1875|100 -> 1.1875|
16;Associate's degree ~ Master's degree;63103 ~ 83238;California -> 0.15762273901808785|Texas -> 0.10077519379844961|New York -> 0.06201550387596899|;200 -> 1.074935400516796|100 -> 0.751937984496124|300 -> 0.6330749354005168|
16;Ninth through twelfth grade ~ Some college, less than college graduate;78421 ~ 100068;Texas -> 0.1076923076923077|California -> 0.1|New York -> 0.07692307692307693|;200 -> 1.1961538461538461|100 -> 0.9346153846153846|300 -> 0.6615384615384615|
