combination_id;val1;val2;val3;expn_val
9;High school graduate ~ Some college, less than college graduate;Texas -> 0.125|Ohio -> 0.11538461538461539|Pennsylvania -> 0.10576923076923077|;Other service -> 0.14423076923076922|Administrative support, including clerical -> 0.125|Handler, helper, laborer -> 0.11538461538461539|;CHE/100 -> 1.125|CHE/110 -> 0.19230769230769232|FOR/100 -> 0.11538461538461539|
9;Bachelor's degree ~ Professional/Doctorate degree;California -> 0.17810760667903525|New York -> 0.06679035250463822|Texas -> 0.06307977736549165|;Professional -> 0.6957328385899815|Teacher -> 0.14100185528756956|Administrator, manager -> 0.06493506493506493|;HON/100 -> 0.17625231910946196|TOY/100 -> 0.15398886827458255|TOY/110 -> 0.11688311688311688|
9;High school graduate;California -> 0.08656036446469248|Florida -> 0.08200455580865604|Pennsylvania -> 0.0683371298405467|;Administrative support, including clerical -> 0.1480637813211845|Professional -> 0.11845102505694761|Administrator, manager -> 0.11161731207289294|;FOR/110 -> 0.24145785876993167|CHE/110 -> 0.23690205011389523|TOY/100 -> 0.13211845102505695|
9;Associate's degree ~ Bachelor's degree;Texas -> 0.13664596273291926|Florida -> 0.08074534161490683|Pennsylvania -> 0.07453416149068323|;Professional -> 0.2795031055900621|Administrator, manager -> 0.14906832298136646|Technician -> 0.10559006211180125|;FOR/110 -> 1.1614906832298137|TOY/100 -> 0.10559006211180125|FOR/100 -> 0.10559006211180125|
9;Bachelor's degree ~ Master's degree;Illinois -> 1.0|Texas -> 0.0|Wisconsin -> 0.0|;Professional -> 0.43636363636363634|Administrator, manager -> 0.18181818181818182|Teacher -> 0.16363636363636364|;HON/100 -> 0.14545454545454545|CHE/110 -> 0.10909090909090909|NIS/100 -> 0.09090909090909091|
9;Some college, less than college graduate;California -> 0.13345521023765997|Texas -> 0.10237659963436929|Florida -> 0.054844606946983544|;Other service -> 0.17915904936014626|Professional -> 0.12431444241316271|Administrative support, including clerical -> 0.12431444241316271|;FOR/110 -> 0.170018281535649|CHE/110 -> 0.170018281535649|TOY/100 -> 0.11517367458866545|
9;Bachelor's degree;California -> 0.1746031746031746|Texas -> 0.09523809523809523|Pennsylvania -> 0.07936507936507936|;Administrator, manager -> 0.6031746031746031|Professional -> 0.1746031746031746|Teacher -> 0.047619047619047616|;TOY/100 -> 0.6349206349206349|TOY/110 -> 0.15343915343915343|HON/100 -> 0.10582010582010581|
9;Associate's degree ~ Bachelor's degree;California -> 0.1223175965665236|Texas -> 0.07939914163090128|Florida -> 0.07510729613733906|;Professional -> 0.13948497854077252|Administrative support, including clerical -> 0.13090128755364808|Other service -> 0.12875536480686695|;HON/100 -> 0.15665236051502146|CHE/110 -> 0.15021459227467812|DOD/110 -> 0.10085836909871244|
9;null ~ High school graduate;California -> 0.21354166666666666|Texas -> 0.203125|Florida -> 0.09895833333333333|;Other service -> 0.14583333333333334|Handler, helper, laborer -> 0.10416666666666667|Sales, retail -> 0.09895833333333333|;FOR/110 -> 0.3020833333333333|CHE/110 -> 0.24479166666666666|TOY/100 -> 0.15625|
9;Ninth through twelfth grade ~ High school graduate;California -> 0.16176470588235295|Florida -> 0.11764705882352941|Texas -> 0.10294117647058823|;Other service -> 1.0|Machine operator, assembler, inspector -> 0.0|Transportation operator -> 0.0|;CHE/110 -> 0.22794117647058823|FOR/110 -> 0.14705882352941177|TOY/100 -> 0.1323529411764706|
